title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Spreadsheet Analytics,A intermediate path into Data Analysis.,111888,Self-paced,GTx,Course Staff,Intermediate,Data Analysis & Statistics,English,English,7–14 hours per week,12 Weeks,$99,"Spreadsheet Analytics for data analysis. Build practical, job-ready skills in power bi, excel, reporting, data visualization. Designed for intermediate learners aiming for a Data Analysis role.","Module 1: Foundations of Spreadsheet Analytics | Module 2: Core tools (power bi, data visualization) | Module 3: Hands-on Spreadsheet Analytics project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/spreadsheet-analytics-intermediate
Spreadsheet Analytics,A advanced path into Data Analysis.,15910,Self-paced,IBM,Course Staff,Advanced,Data Analysis & Statistics,English,English,6–9 hours per week,6 Weeks,Free,"Spreadsheet Analytics for data analysis. Build practical, job-ready skills in tableau, excel, reporting, pandas. Designed for advanced learners aiming for a Data Analysis role.","Module 1: Foundations of Spreadsheet Analytics | Module 2: Core tools (tableau, pandas) | Module 3: Hands-on Spreadsheet Analytics project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/spreadsheet-analytics-advanced
Data Engineering,A beginner path into Data Engineering.,69358,Self-paced,BerkeleyX,Course Staff,Introductory,Computer Science,English,English,3–14 hours per week,9 Weeks,Free (Audit),"Data Engineering for data engineering. Build practical, job-ready skills in airflow, dbt, sql, etl. Designed for beginner learners aiming for a Data Engineering role.","Module 1: Foundations of Data Engineering | Module 2: Core tools (airflow, etl) | Module 3: Hands-on Data Engineering project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-engineering-beginner
Data Engineering,A intermediate path into Data Engineering.,133614,Self-paced,Microsoft,Course Staff,Intermediate,Computer Science,English,English,4–10 hours per week,9 Weeks,Free,"Data Engineering for data engineering. Build practical, job-ready skills in data warehouse, etl, airflow, kafka. Designed for intermediate learners aiming for a Data Engineering role.","Module 1: Foundations of Data Engineering | Module 2: Core tools (data warehouse, kafka) | Module 3: Hands-on Data Engineering project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-engineering-intermediate
Data Engineering,A advanced path into Data Engineering.,31258,Self-paced,GTx,Course Staff,Advanced,Computer Science,English,English,2–14 hours per week,12 Weeks,Free (Audit),"Data Engineering for data engineering. Build practical, job-ready skills in etl, kafka, snowflake, airflow. Designed for advanced learners aiming for a Data Engineering role.","Module 1: Foundations of Data Engineering | Module 2: Core tools (etl, airflow) | Module 3: Hands-on Data Engineering project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-engineering-advanced
Big Data with Spark,A beginner path into Data Engineering.,167273,Self-paced,MITx,Course Staff,Introductory,Computer Science,English,English,5–11 hours per week,4 Weeks,Free,"Big Data with Spark for data engineering. Build practical, job-ready skills in data warehouse, kafka, sql, airflow. Designed for beginner learners aiming for a Data Engineering role.","Module 1: Foundations of Big Data with Spark | Module 2: Core tools (data warehouse, airflow) | Module 3: Hands-on Big Data with Spark project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/big-data-with-spark-beginner
Big Data with Spark,A intermediate path into Data Engineering.,97787,Self-paced,HarvardX,Course Staff,Intermediate,Computer Science,English,English,6–13 hours per week,6 Weeks,$99,"Big Data with Spark for data engineering. Build practical, job-ready skills in dbt, snowflake, airflow, kafka. Designed for intermediate learners aiming for a Data Engineering role.","Module 1: Foundations of Big Data with Spark | Module 2: Core tools (dbt, kafka) | Module 3: Hands-on Big Data with Spark project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/big-data-with-spark-intermediate
Big Data with Spark,A advanced path into Data Engineering.,63059,Self-paced,IBM,Course Staff,Advanced,Computer Science,English,English,8–10 hours per week,6 Weeks,$99,"Big Data with Spark for data engineering. Build practical, job-ready skills in kafka, spark, sql, dbt. Designed for advanced learners aiming for a Data Engineering role.","Module 1: Foundations of Big Data with Spark | Module 2: Core tools (kafka, dbt) | Module 3: Hands-on Big Data with Spark project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/big-data-with-spark-advanced
Building Data Pipelines,A beginner path into Data Engineering.,53316,Self-paced,Microsoft,Course Staff,Introductory,Computer Science,English,English,8–12 hours per week,9 Weeks,$49,"Building Data Pipelines for data engineering. Build practical, job-ready skills in spark, airflow, dbt, kafka. Designed for beginner learners aiming for a Data Engineering role.","Module 1: Foundations of Building Data Pipelines | Module 2: Core tools (spark, kafka) | Module 3: Hands-on Building Data Pipelines project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/building-data-pipelines-beginner
Building Data Pipelines,A intermediate path into Data Engineering.,8235,Self-paced,BerkeleyX,Course Staff,Intermediate,Computer Science,English,English,2–11 hours per week,6 Weeks,$49,"Building Data Pipelines for data engineering. Build practical, job-ready skills in etl, airflow, spark, snowflake. Designed for intermediate learners aiming for a Data Engineering role.","Module 1: Foundations of Building Data Pipelines | Module 2: Core tools (etl, snowflake) | Module 3: Hands-on Building Data Pipelines project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/building-data-pipelines-intermediate
Building Data Pipelines,A advanced path into Data Engineering.,12635,Self-paced,GTx,Course Staff,Advanced,Computer Science,English,English,7–12 hours per week,4 Weeks,Free (Audit),"Building Data Pipelines for data engineering. Build practical, job-ready skills in spark, sql, data warehouse, etl. Designed for advanced learners aiming for a Data Engineering role.","Module 1: Foundations of Building Data Pipelines | Module 2: Core tools (spark, etl) | Module 3: Hands-on Building Data Pipelines project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/building-data-pipelines-advanced
Data Warehousing,A beginner path into Data Engineering.,51289,Self-paced,IBM,Course Staff,Introductory,Computer Science,English,English,5–14 hours per week,10 Weeks,Free (Audit),"Data Warehousing for data engineering. Build practical, job-ready skills in dbt, etl, spark, kafka. Designed for beginner learners aiming for a Data Engineering role.","Module 1: Foundations of Data Warehousing | Module 2: Core tools (dbt, kafka) | Module 3: Hands-on Data Warehousing project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-warehousing-beginner
Data Warehousing,A intermediate path into Data Engineering.,173713,Self-paced,IBM,Course Staff,Intermediate,Computer Science,English,English,2–11 hours per week,12 Weeks,$49,"Data Warehousing for data engineering. Build practical, job-ready skills in data warehouse, etl, sql, spark. Designed for intermediate learners aiming for a Data Engineering role.","Module 1: Foundations of Data Warehousing | Module 2: Core tools (data warehouse, spark) | Module 3: Hands-on Data Warehousing project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-warehousing-intermediate
Data Warehousing,A advanced path into Data Engineering.,130598,Self-paced,UBCx,Course Staff,Advanced,Computer Science,English,English,5–10 hours per week,6 Weeks,Free,"Data Warehousing for data engineering. Build practical, job-ready skills in airflow, snowflake, sql, kafka. Designed for advanced learners aiming for a Data Engineering role.","Module 1: Foundations of Data Warehousing | Module 2: Core tools (airflow, kafka) | Module 3: Hands-on Data Warehousing project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/data-warehousing-advanced
Streaming with Kafka,A beginner path into Data Engineering.,198984,Self-paced,BerkeleyX,Course Staff,Introductory,Computer Science,English,English,5–13 hours per week,12 Weeks,$99,"Streaming with Kafka for data engineering. Build practical, job-ready skills in airflow, snowflake, etl, sql. Designed for beginner learners aiming for a Data Engineering role.","Module 1: Foundations of Streaming with Kafka | Module 2: Core tools (airflow, sql) | Module 3: Hands-on Streaming with Kafka project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/streaming-with-kafka-beginner
Streaming with Kafka,A intermediate path into Data Engineering.,72228,Self-paced,Microsoft,Course Staff,Intermediate,Computer Science,English,English,4–11 hours per week,12 Weeks,Free,"Streaming with Kafka for data engineering. Build practical, job-ready skills in sql, airflow, dbt, etl. Designed for intermediate learners aiming for a Data Engineering role.","Module 1: Foundations of Streaming with Kafka | Module 2: Core tools (sql, etl) | Module 3: Hands-on Streaming with Kafka project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/streaming-with-kafka-intermediate
Streaming with Kafka,A advanced path into Data Engineering.,103099,Self-paced,UBCx,Course Staff,Advanced,Computer Science,English,English,8–13 hours per week,4 Weeks,$99,"Streaming with Kafka for data engineering. Build practical, job-ready skills in kafka, airflow, snowflake, etl. Designed for advanced learners aiming for a Data Engineering role.","Module 1: Foundations of Streaming with Kafka | Module 2: Core tools (kafka, etl) | Module 3: Hands-on Streaming with Kafka project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Engineering",https://www.edx.org/course/streaming-with-kafka-advanced
Machine Learning,A beginner path into Machine Learning.,176341,Self-paced,BerkeleyX,Course Staff,Introductory,Computer Science,English,English,7–12 hours per week,6 Weeks,$99,"Machine Learning for machine learning. Build practical, job-ready skills in pytorch, python, tensorflow, deep learning. Designed for beginner learners aiming for a Machine Learning role.","Module 1: Foundations of Machine Learning | Module 2: Core tools (pytorch, deep learning) | Module 3: Hands-on Machine Learning project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/machine-learning-beginner
Machine Learning,A intermediate path into Machine Learning.,69198,Self-paced,HarvardX,Course Staff,Intermediate,Computer Science,English,English,5–11 hours per week,7 Weeks,$99,"Machine Learning for machine learning. Build practical, job-ready skills in scikit-learn, deep learning, model deployment, python. Designed for intermediate learners aiming for a Machine Learning role.","Module 1: Foundations of Machine Learning | Module 2: Core tools (scikit-learn, python) | Module 3: Hands-on Machine Learning project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/machine-learning-intermediate
Machine Learning,A advanced path into Machine Learning.,171853,Self-paced,MITx,Course Staff,Advanced,Computer Science,English,English,2–9 hours per week,7 Weeks,Free (Audit),"Machine Learning for machine learning. Build practical, job-ready skills in tensorflow, feature engineering, pytorch, model deployment. Designed for advanced learners aiming for a Machine Learning role.","Module 1: Foundations of Machine Learning | Module 2: Core tools (tensorflow, model deployment) | Module 3: Hands-on Machine Learning project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/machine-learning-advanced
Deep Learning,A beginner path into Machine Learning.,159831,Self-paced,IBM,Course Staff,Introductory,Computer Science,English,English,6–14 hours per week,5 Weeks,Free (Audit),"Deep Learning for machine learning. Build practical, job-ready skills in feature engineering, python, deep learning, scikit-learn. Designed for beginner learners aiming for a Machine Learning role.","Module 1: Foundations of Deep Learning | Module 2: Core tools (feature engineering, scikit-learn) | Module 3: Hands-on Deep Learning project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/deep-learning-beginner
Deep Learning,A intermediate path into Machine Learning.,183764,Self-paced,MITx,Course Staff,Intermediate,Computer Science,English,English,8–11 hours per week,5 Weeks,Free,"Deep Learning for machine learning. Build practical, job-ready skills in tensorflow, python, deep learning, model deployment. Designed for intermediate learners aiming for a Machine Learning role.","Module 1: Foundations of Deep Learning | Module 2: Core tools (tensorflow, model deployment) | Module 3: Hands-on Deep Learning project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/deep-learning-intermediate
Deep Learning,A advanced path into Machine Learning.,115160,Self-paced,IBM,Course Staff,Advanced,Computer Science,English,English,3–14 hours per week,12 Weeks,$49,"Deep Learning for machine learning. Build practical, job-ready skills in tensorflow, deep learning, pytorch, feature engineering. Designed for advanced learners aiming for a Machine Learning role.","Module 1: Foundations of Deep Learning | Module 2: Core tools (tensorflow, feature engineering) | Module 3: Hands-on Deep Learning project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/deep-learning-advanced
Applied ML,A beginner path into Machine Learning.,89184,Self-paced,UBCx,Course Staff,Introductory,Computer Science,English,English,2–12 hours per week,9 Weeks,Free (Audit),"Applied ML for machine learning. Build practical, job-ready skills in deep learning, feature engineering, pytorch, model deployment. Designed for beginner learners aiming for a Machine Learning role.","Module 1: Foundations of Applied ML | Module 2: Core tools (deep learning, model deployment) | Module 3: Hands-on Applied ML project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/applied-ml-beginner
Applied ML,A intermediate path into Machine Learning.,129077,Self-paced,UBCx,Course Staff,Intermediate,Computer Science,English,English,6–10 hours per week,11 Weeks,$99,"Applied ML for machine learning. Build practical, job-ready skills in pytorch, scikit-learn, tensorflow, deep learning. Designed for intermediate learners aiming for a Machine Learning role.","Module 1: Foundations of Applied ML | Module 2: Core tools (pytorch, deep learning) | Module 3: Hands-on Applied ML project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/applied-ml-intermediate
Applied ML,A advanced path into Machine Learning.,196542,Self-paced,UBCx,Course Staff,Advanced,Computer Science,English,English,6–11 hours per week,9 Weeks,$99,"Applied ML for machine learning. Build practical, job-ready skills in pytorch, python, model deployment, tensorflow. Designed for advanced learners aiming for a Machine Learning role.","Module 1: Foundations of Applied ML | Module 2: Core tools (pytorch, tensorflow) | Module 3: Hands-on Applied ML project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/applied-ml-advanced
Neural Networks,A beginner path into Machine Learning.,190945,Self-paced,GTx,Course Staff,Introductory,Computer Science,English,English,6–13 hours per week,8 Weeks,Free,"Neural Networks for machine learning. Build practical, job-ready skills in tensorflow, feature engineering, model deployment, scikit-learn. Designed for beginner learners aiming for a Machine Learning role.","Module 1: Foundations of Neural Networks | Module 2: Core tools (tensorflow, scikit-learn) | Module 3: Hands-on Neural Networks project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/neural-networks-beginner
Neural Networks,A intermediate path into Machine Learning.,27892,Self-paced,DelftX,Course Staff,Intermediate,Computer Science,English,English,8–9 hours per week,8 Weeks,$99,"Neural Networks for machine learning. Build practical, job-ready skills in feature engineering, scikit-learn, tensorflow, model deployment. Designed for intermediate learners aiming for a Machine Learning role.","Module 1: Foundations of Neural Networks | Module 2: Core tools (feature engineering, model deployment) | Module 3: Hands-on Neural Networks project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/neural-networks-intermediate
Neural Networks,A advanced path into Machine Learning.,40111,Self-paced,IBM,Course Staff,Advanced,Computer Science,English,English,8–13 hours per week,8 Weeks,Free,"Neural Networks for machine learning. Build practical, job-ready skills in pytorch, feature engineering, tensorflow, scikit-learn. Designed for advanced learners aiming for a Machine Learning role.","Module 1: Foundations of Neural Networks | Module 2: Core tools (pytorch, scikit-learn) | Module 3: Hands-on Neural Networks project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/neural-networks-advanced
ML Engineering,A beginner path into Machine Learning.,55470,Self-paced,MITx,Course Staff,Introductory,Computer Science,English,English,7–10 hours per week,8 Weeks,Free,"ML Engineering for machine learning. Build practical, job-ready skills in scikit-learn, python, deep learning, pytorch. Designed for beginner learners aiming for a Machine Learning role.","Module 1: Foundations of ML Engineering | Module 2: Core tools (scikit-learn, pytorch) | Module 3: Hands-on ML Engineering project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/ml-engineering-beginner
ML Engineering,A intermediate path into Machine Learning.,181193,Self-paced,MITx,Course Staff,Intermediate,Computer Science,English,English,3–11 hours per week,7 Weeks,$99,"ML Engineering for machine learning. Build practical, job-ready skills in scikit-learn, feature engineering, model deployment, python. Designed for intermediate learners aiming for a Machine Learning role.","Module 1: Foundations of ML Engineering | Module 2: Core tools (scikit-learn, python) | Module 3: Hands-on ML Engineering project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/ml-engineering-intermediate
ML Engineering,A advanced path into Machine Learning.,181532,Self-paced,DelftX,Course Staff,Advanced,Computer Science,English,English,4–14 hours per week,10 Weeks,$49,"ML Engineering for machine learning. Build practical, job-ready skills in python, deep learning, scikit-learn, model deployment. Designed for advanced learners aiming for a Machine Learning role.","Module 1: Foundations of ML Engineering | Module 2: Core tools (python, model deployment) | Module 3: Hands-on ML Engineering project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Machine Learning",https://www.edx.org/course/ml-engineering-advanced
MLOps,A beginner path into MLOps & DevOps.,152059,Self-paced,GTx,Course Staff,Introductory,Computer Science,English,English,2–10 hours per week,11 Weeks,$99,"MLOps for mlops & devops. Build practical, job-ready skills in monitoring, mlflow, terraform, github actions. Designed for beginner learners aiming for a MLOps & DevOps role.","Module 1: Foundations of MLOps | Module 2: Core tools (monitoring, github actions) | Module 3: Hands-on MLOps project | Module 4: Beginner techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/mlops-beginner
MLOps,A intermediate path into MLOps & DevOps.,76554,Self-paced,DelftX,Course Staff,Intermediate,Computer Science,English,English,7–12 hours per week,12 Weeks,Free,"MLOps for mlops & devops. Build practical, job-ready skills in ci/cd, kubernetes, monitoring, terraform. Designed for intermediate learners aiming for a MLOps & DevOps role.","Module 1: Foundations of MLOps | Module 2: Core tools (ci/cd, terraform) | Module 3: Hands-on MLOps project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/mlops-intermediate
MLOps,A advanced path into MLOps & DevOps.,164219,Self-paced,BerkeleyX,Course Staff,Advanced,Computer Science,English,English,8–12 hours per week,11 Weeks,Free,"MLOps for mlops & devops. Build practical, job-ready skills in terraform, docker, ci/cd, monitoring. Designed for advanced learners aiming for a MLOps & DevOps role.","Module 1: Foundations of MLOps | Module 2: Core tools (terraform, monitoring) | Module 3: Hands-on MLOps project | Module 4: Advanced techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/mlops-advanced
DevOps,A beginner path into MLOps & DevOps.,145769,Self-paced,HarvardX,Course Staff,Introductory,Computer Science,English,English,5–9 hours per week,7 Weeks,Free,"DevOps for mlops & devops. Build practical, job-ready skills in kubernetes, ci/cd, monitoring, mlflow. Designed for beginner learners aiming for a MLOps & DevOps role.","Module 1: Foundations of DevOps | Module 2: Core tools (kubernetes, mlflow) | Module 3: Hands-on DevOps project | Module 4: Beginner techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/devops-beginner
DevOps,A intermediate path into MLOps & DevOps.,158123,Self-paced,Microsoft,Course Staff,Intermediate,Computer Science,English,English,6–14 hours per week,6 Weeks,Free,"DevOps for mlops & devops. Build practical, job-ready skills in terraform, docker, kubernetes, mlflow. Designed for intermediate learners aiming for a MLOps & DevOps role.","Module 1: Foundations of DevOps | Module 2: Core tools (terraform, mlflow) | Module 3: Hands-on DevOps project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/devops-intermediate
DevOps,A advanced path into MLOps & DevOps.,120365,Self-paced,UBCx,Course Staff,Advanced,Computer Science,English,English,4–10 hours per week,7 Weeks,$99,"DevOps for mlops & devops. Build practical, job-ready skills in ci/cd, terraform, mlflow, monitoring. Designed for advanced learners aiming for a MLOps & DevOps role.","Module 1: Foundations of DevOps | Module 2: Core tools (ci/cd, monitoring) | Module 3: Hands-on DevOps project | Module 4: Advanced techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/devops-advanced
Kubernetes in Production,A beginner path into MLOps & DevOps.,27309,Self-paced,BerkeleyX,Course Staff,Introductory,Computer Science,English,English,8–12 hours per week,5 Weeks,$99,"Kubernetes in Production for mlops & devops. Build practical, job-ready skills in kubernetes, terraform, docker, ci/cd. Designed for beginner learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Kubernetes in Production | Module 2: Core tools (kubernetes, ci/cd) | Module 3: Hands-on Kubernetes in Production project | Module 4: Beginner techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/kubernetes-in-production-beginner
Kubernetes in Production,A intermediate path into MLOps & DevOps.,84010,Self-paced,UBCx,Course Staff,Intermediate,Computer Science,English,English,7–14 hours per week,11 Weeks,Free,"Kubernetes in Production for mlops & devops. Build practical, job-ready skills in docker, github actions, kubernetes, terraform. Designed for intermediate learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Kubernetes in Production | Module 2: Core tools (docker, terraform) | Module 3: Hands-on Kubernetes in Production project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/kubernetes-in-production-intermediate
